"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"66"	"66"	"0.966666666666667"	"0.962025316455696"	"1"	"7.76584949445288"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SYNJ2|8871"	"URB1|9875"
"67"	"67"	"1"	"1"	"1"	"7.22973323560001"	"ANKRD22|118932"	"ASPM|259266"	"PNPLA6|10908"	"PYCR1|5831"	"RDX|5962"	"RTKN2|219790"	"SYNJ2|8871"	"UBC|7316"
"68"	"68"	"1"	"1"	"1"	"6.85128165881233"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"STARD7|56910"
"69"	"69"	"1"	"1"	"1"	"7.16914304983514"	"ATP13A1|57130"	"C13orf1|57213"	"CASKIN2|57513"	"FERMT1|55612"	"PWP2|5822"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"70"	"70"	"0.977777777777778"	"0.974683544303797"	"1"	"7.86977951043193"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"MERTK|10461"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"71"	"71"	"1"	"1"	"1"	"7.14365767817013"	"ANKRD22|118932"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"72"	"72"	"1"	"1"	"1"	"8.28836603906089"	"C13orf15|28984"	"COL10A1|1300"	"COL12A1|1303"	"PRELP|5549"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SYNJ2|8871"
"73"	"73"	"1"	"1"	"1"	"7.22347242392944"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SMG6|23293"
"74"	"74"	"1"	"1"	"1"	"8.37633688941557"	"CASKIN2|57513"	"CD101|9398"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"SYNJ2|8871"	"TRAF1|7185"
"75"	"75"	"0.988888888888889"	"1"	"0.909090909090909"	"7.72748401716326"	"ABCC3|8714"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"76"	"76"	"1"	"1"	"1"	"8.88421744539241"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"EPAS1|2034"	"KDM5B|10765"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"
"77"	"77"	"0.988888888888889"	"0.987341772151899"	"1"	"7.82018599810927"	"COL17A1|1308"	"GGT5|2687"	"NPL|80896"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"	"SLC31A2|1318"	"TOP2A|7153"
"78"	"78"	"1"	"1"	"1"	"7.55363830676308"	"CLEC2D|29121"	"FADS3|3995"	"LGR4|55366"	"NPL|80896"	"NUS1|116150"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"79"	"79"	"1"	"1"	"1"	"8.17400116515995"	"ETV4|2118"	"FERMT1|55612"	"IQGAP3|128239"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"80"	"80"	"1"	"1"	"1"	"7.38711280165691"	"DLG5|9231"	"EPAS1|2034"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"	"TUBA1B|10376"
"81"	"81"	"1"	"1"	"1"	"8.32816458976965"	"ARL4A|10124"	"C1orf198|84886"	"COL10A1|1300"	"EPAS1|2034"	"LGR4|55366"	"MYL9|10398"	"NAMPT|10135"	"PYCR1|5831"
"82"	"82"	"1"	"1"	"1"	"7.09104646624704"	"COL10A1|1300"	"EPAS1|2034"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SRPK1|6732"
"83"	"83"	"0.988888888888889"	"0.987341772151899"	"1"	"7.73829738907178"	"ANKS1A|23294"	"CAT|847"	"CCDC55|84081"	"FERMT1|55612"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"	"TUBA1B|10376"
"84"	"84"	"0.966666666666667"	"0.962025316455696"	"1"	"8.4343104585251"	"C20orf27|54976"	"CAT|847"	"DPH1|1801"	"FERMT1|55612"	"LGR4|55366"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"
