"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"101"	"101"	"1"	"1"	"1"	"7.55099790032945"	"HS6ST2|90161"	"MMP12|4321"	"MVD|4597"	"PYCR1|5831"	"RDX|5962"	"RTKN2|219790"	"TMPRSS4|56649"	"TREM1|54210"
"102"	"102"	"0.977777777777778"	"0.974683544303797"	"1"	"7.90864719156285"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"PHKA1|5255"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"103"	"103"	"1"	"1"	"1"	"7.27019895236035"	"CYP51A1|1595"	"ETV4|2118"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"
"104"	"104"	"1"	"1"	"1"	"7.05981714285314"	"CLEC2D|29121"	"DOPEY2|9980"	"FERMT1|55612"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"105"	"105"	"0.988888888888889"	"0.987341772151899"	"1"	"7.68432026735515"	"CXCL13|10563"	"ETV4|2118"	"FOLR2|2350"	"HYAL2|8692"	"IQGAP3|128239"	"LGR4|55366"	"RTKN2|219790"	"STX11|8676"
"106"	"106"	"1"	"1"	"1"	"7.77248782021021"	"MMP11|4320"	"MYL9|10398"	"NPL|80896"	"PYCR1|5831"	"RALGPS2|55103"	"RTKN2|219790"	"SLC19A1|6573"	"USP48|84196"
"107"	"107"	"1"	"1"	"1"	"8.19038226410247"	"ANKRD40|91369"	"EPAS1|2034"	"ETV4|2118"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"108"	"108"	"0.988888888888889"	"0.987341772151899"	"1"	"8.78674569827956"	"EPB41L5|57669"	"ETV4|2118"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"
"109"	"109"	"1"	"1"	"1"	"7.29074383954344"	"DHCR7|1717"	"EPAS1|2034"	"HS6ST2|90161"	"KIF26B|55083"	"LGR4|55366"	"POU2AF1|5450"	"PYCR1|5831"	"ST6GALNAC5|81849"
"110"	"110"	"1"	"1"	"1"	"7.17430775782055"	"CYP51A1|1595"	"ETV4|2118"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"
