"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"60"	"60"	"0.977777777777778"	"0.974683544303797"	"1"	"8.82314839655235"	"C13orf1|57213"	"COL10A1|1300"	"CYP24A1|1591"	"EPAS1|2034"	"LOC253039|253039"	"MYL9|10398"	"PYCR1|5831"	"RALGPS2|55103"	"ST6GALNAC5|81849"
"61"	"61"	"1"	"1"	"1"	"8.12613476463628"	"ADAM28|10863"	"ATF6|22926"	"DOPEY2|9980"	"HYAL2|8692"	"PYCR1|5831"	"RAB6A|5870"	"RTKN2|219790"	"SLC19A1|6573"	"SRPK1|6732"
"62"	"62"	"1"	"1"	"1"	"8.76447206102972"	"COL17A1|1308"	"EIF2S2|8894"	"GGT5|2687"	"PYCR1|5831"	"RTKN2|219790"	"RTN4|57142"	"SLC19A1|6573"	"SLC7A11|23657"	"TOP2A|7153"
"63"	"63"	"0.988888888888889"	"0.987341772151899"	"1"	"9.78211240208562"	"ABHD5|51099"	"ANKS1A|23294"	"FDPS|2224"	"KCNN4|3783"	"MYL6|4637"	"PVR|5817"	"PYCR1|5831"	"SLC19A1|6573"	"SRPK1|6732"
"64"	"64"	"1"	"1"	"1"	"8.48096206816476"	"COL10A1|1300"	"COL8A2|1296"	"EPAS1|2034"	"ISLR|3671"	"PIK3CD|5293"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"65"	"65"	"0.988888888888889"	"1"	"0.909090909090909"	"8.75324137792638"	"C13orf1|57213"	"CD101|9398"	"DGKA|1606"	"EPAS1|2034"	"LAMA2|3908"	"PYCR1|5831"	"SFXN4|119559"	"SLC19A1|6573"	"SPTBN2|6712"
"66"	"66"	"0.988888888888889"	"1"	"0.909090909090909"	"7.96082035492761"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"MYL6|4637"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"STARD7|56910"
"67"	"67"	"1"	"1"	"1"	"7.57201338292548"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"COL17A1|1308"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"68"	"68"	"1"	"1"	"1"	"8.13558222522644"	"ANKRD22|118932"	"ATP13A1|57130"	"CASKIN2|57513"	"CYP51A1|1595"	"NUS1|116150"	"PNPLA6|10908"	"PPIA|5478"	"PYCR1|5831"	"SYNJ2|8871"
"69"	"69"	"0.988888888888889"	"0.987341772151899"	"1"	"8.96279221929022"	"EPAS1|2034"	"GPT2|84706"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"RAB1B|81876"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"70"	"70"	"0.988888888888889"	"1"	"0.909090909090909"	"8.66906206496566"	"C1orf198|84886"	"EPAS1|2034"	"FOLR2|2350"	"KIF26B|55083"	"LGR4|55366"	"PDIK1L|149420"	"PNPLA6|10908"	"PYCR1|5831"	"SPTBN2|6712"
"71"	"71"	"0.988888888888889"	"1"	"0.909090909090909"	"9.04344933233486"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RASSF4|83937"	"RNF149|284996"	"RTKN2|219790"	"SYNJ2|8871"	"ZHX3|23051"
"72"	"72"	"1"	"1"	"1"	"8.31285830738563"	"ADAM8|101"	"HYAL2|8692"	"LAPTM5|7805"	"MARCKSL1|65108"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SDCBP|6386"	"SLC19A1|6573"
"73"	"73"	"0.988888888888889"	"0.987341772151899"	"1"	"8.7930784033673"	"CASKIN2|57513"	"CCL19|6363"	"CD52|1043"	"EPAS1|2034"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"STARD7|56910"	"TMPRSS4|56649"
"74"	"74"	"0.988888888888889"	"0.987341772151899"	"1"	"8.21365764525103"	"CASKIN2|57513"	"LGR4|55366"	"PYCR1|5831"	"RAB6A|5870"	"SC4MOL|6307"	"SIRPB1|10326"	"SLC19A1|6573"	"SPTBN2|6712"	"SYNJ2|8871"
"75"	"75"	"1"	"1"	"1"	"8.71725001993574"	"ANKRD22|118932"	"ASPM|259266"	"CD101|9398"	"NAPSB|256236"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"USP48|84196"
"76"	"76"	"0.988888888888889"	"0.987341772151899"	"1"	"8.22397490545175"	"COL10A1|1300"	"COL8A2|1296"	"EPAS1|2034"	"JAK3|3718"	"PYCR1|5831"	"SBDSP1|155370"	"SLC19A1|6573"	"SPTBN2|6712"	"ST6GALNAC5|81849"
"77"	"77"	"1"	"1"	"1"	"8.34934375368328"	"ADAM8|101"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"PYCR1|5831"	"SAR1A|56681"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"78"	"78"	"1"	"1"	"1"	"9.83658155329531"	"CORO1C|23603"	"FCGR3A|2214"	"FERMT1|55612"	"FOLR2|2350"	"FUT2|2524"	"KIAA0907|22889"	"PGM2L1|283209"	"RTKN2|219790"	"TOP2A|7153"
