"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"
"148"	"148"	"0.988888888888889"	"0.987341772151899"	"1"	"4.24496277332987"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"149"	"149"	"0.977777777777778"	"0.974683544303797"	"1"	"4.44736173147695"	"COL10A1|1300"	"PECAM1|5175"	"PYCR1|5831"
"150"	"150"	"1"	"1"	"1"	"3.89349583667323"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"
"151"	"151"	"0.988888888888889"	"0.987341772151899"	"1"	"4.12593494361329"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"152"	"152"	"0.988888888888889"	"0.987341772151899"	"1"	"4.42106621153042"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"153"	"153"	"0.988888888888889"	"0.987341772151899"	"1"	"4.13319068677254"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"154"	"154"	"0.988888888888889"	"0.987341772151899"	"1"	"4.39623173091992"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"155"	"155"	"0.988888888888889"	"0.987341772151899"	"1"	"4.06141052914896"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"156"	"156"	"1"	"1"	"1"	"3.83217513145937"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"157"	"157"	"1"	"1"	"1"	"3.66263887430281"	"ANKRD22|118932"	"PYCR1|5831"	"RAMP3|10268"
"158"	"158"	"0.988888888888889"	"0.987341772151899"	"1"	"4.26946107320053"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"159"	"159"	"1"	"1"	"1"	"4.48848045257523"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"160"	"160"	"0.977777777777778"	"0.974683544303797"	"1"	"4.47404017479722"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"161"	"161"	"1"	"1"	"1"	"3.2033627694414"	"RTKN2|219790"	"TUBB6|84617"	"UBE2C|11065"
"162"	"162"	"0.977777777777778"	"0.974683544303797"	"1"	"4.38995394871027"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"163"	"163"	"1"	"1"	"1"	"4.09489145139029"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"164"	"164"	"1"	"1"	"1"	"4.37923397878939"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"165"	"165"	"0.988888888888889"	"0.987341772151899"	"1"	"4.0769029622227"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"166"	"166"	"1"	"1"	"1"	"3.7738955022691"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"167"	"167"	"0.977777777777778"	"0.974683544303797"	"1"	"4.08553310880699"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"168"	"168"	"1"	"1"	"1"	"4.24735196457221"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"169"	"169"	"1"	"1"	"1"	"4.08673124232567"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"170"	"170"	"0.966666666666667"	"0.962025316455696"	"1"	"4.07743180709351"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"171"	"171"	"0.977777777777778"	"0.974683544303797"	"1"	"3.9589685383251"	"EPAS1|2034"	"PYCR1|5831"	"STRA13|201254"
"172"	"172"	"0.977777777777778"	"0.974683544303797"	"1"	"4.18935371600198"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"173"	"173"	"1"	"1"	"1"	"3.74285147817724"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"174"	"174"	"0.966666666666667"	"0.962025316455696"	"1"	"4.29859302277713"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"175"	"175"	"0.988888888888889"	"0.987341772151899"	"1"	"4.12762536945321"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"176"	"176"	"0.977777777777778"	"0.974683544303797"	"1"	"3.71474316444099"	"COL10A1|1300"	"KANK3|256949"	"PYCR1|5831"
"177"	"177"	"0.988888888888889"	"0.987341772151899"	"1"	"3.66331794015947"	"FYB|2533"	"PYCR1|5831"	"STX11|8676"
"178"	"178"	"0.977777777777778"	"0.974683544303797"	"1"	"3.94269064729421"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"
"179"	"179"	"0.977777777777778"	"0.974683544303797"	"1"	"4.2052597419389"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"180"	"180"	"0.977777777777778"	"0.974683544303797"	"1"	"4.12257784932646"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"181"	"181"	"1"	"1"	"1"	"3.89868842870167"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"182"	"182"	"0.988888888888889"	"0.987341772151899"	"1"	"3.82410499646154"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"183"	"183"	"0.988888888888889"	"0.987341772151899"	"1"	"4.00375324824811"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"184"	"184"	"0.966666666666667"	"0.962025316455696"	"1"	"4.12842468053014"	"RTKN2|219790"	"TOP2A|7153"	"TUBA1B|10376"
"185"	"185"	"0.988888888888889"	"0.987341772151899"	"1"	"4.26740308850568"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"186"	"186"	"0.988888888888889"	"0.987341772151899"	"1"	"4.08523233314607"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
